"beanplot"
"bibtex"
"brms"
"carData"
"cowplot"
"data.table"
"extrafont"
"extrafontdb"
"foreach"
"gapminder"
"gridExtra"
"here"
"Hmisc"
"knitr"
"lattice"
"latticeExtra"
"lubridate"
"mapdata"
"markdown"
"MASS"
"mapsapi"
"mlogit"
"nloptr"
"nycflights13"
"randtoolbox"
"RColorBrewer"
"readxl"
"reticulate"
"rmarkdown"
"rstan"
"rstanarm"
"rstantools"
"rvest"
"scales"
"shiny"
"shinycssloaders"
"StanHeaders"
"tidyverse"
"testthat"
"treemap"
"tufte"
"wordcloud"
"xml2"
"xtable"
"yaml"
"zipcode"
"zoo"
